LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,T2MDEW,T2M,KT_CLEAR,KT,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN
50.07731,20.76851,2015,07,16,    0.01,  0.008651,   11.60,   20.78,              0.56,              0.56,              7.04,              6.25,              8.35
50.07731,20.76851,2015,07,17,    1.48,  0.010326,   14.26,   23.88,              0.62,              0.62,              6.93,              6.82,              8.75
50.07731,20.76851,2015,07,18,    0.78,  0.010395,   14.33,   25.72,              0.47,              0.47,              6.83,              5.15,              9.48
50.07731,20.76851,2015,07,19,    3.32,  0.012304,   16.87,   25.13,              0.56,              0.56,-999,              6.05,              9.82
50.07731,20.76851,2015,07,20,    5.22,  0.009904,   13.24,   21.43,              0.53,              0.53,-999,              5.81,              8.67
50.07731,20.76851,2015,07,21,    0.12,  0.009810,   13.18,   23.70,              0.47,              0.47,-999,              5.11,              8.95
50.07731,20.76851,2015,07,22,    0.10,  0.011617,   16.06,   26.51,              0.60,              0.60,              6.71,              6.40,              9.36
50.07731,20.76851,2015,07,23,    0.72,  0.011959,   16.47,   26.76,              0.43,              0.43,-999,              4.64,              9.85
50.07731,20.76851,2015,07,24,    0.16,  0.011166,   15.43,   23.89,              0.54,              0.54,-999,              5.78,              9.61
50.07731,20.76851,2015,07,25,    2.98,  0.013064,   17.75,   25.50,              0.58,              0.58,              6.54,              6.12,              9.59
50.07731,20.76851,2015,07,26,    4.33,  0.008356,   10.65,   19.24,              0.39,              0.39,-999,              4.20,              8.69
50.07731,20.76851,2015,07,27,    0.13,  0.007687,    9.62,   18.17,              0.25,              0.25,-999,              2.62,              8.63
50.07731,20.76851,2015,07,28,    1.04,  0.008429,   10.99,   20.13,              0.50,              0.50,-999,              5.30,              8.69
50.07731,20.76851,2015,07,29,    5.52,  0.008367,   10.82,   18.98,              0.40,              0.40,-999,              4.24,              8.66
50.07731,20.76851,2015,07,30,    0.17,  0.006511,    7.01,   18.14,              0.61,              0.61,              6.75,              6.38,              7.88
50.07731,20.76851,2015,07,31,    0.00,  0.005515,    4.99,   17.26,              0.53,              0.53,-999,              5.45,              7.58
50.07731,20.76851,2015,08,01,    0.00,  0.006303,    6.92,   18.34,              0.65,              0.65,              6.77,              6.65,              7.64
50.07731,20.76851,2015,08,02,    0.02,  0.007226,    8.88,   21.16,              0.49,              0.49,-999,              5.05,              8.79
50.07731,20.76851,2015,08,03,    0.17,  0.009360,   12.63,   23.54,              0.49,              0.49,-999,              5.09,              9.29
